диаметр_поршня_Ц1,диаметр_поршня_Ц2,низ_Ц1_перед_доля_рычага,низ_Ц1_зад_доля_рычага,низ_Ц2_перед_доля_рычага,низ_Ц2_зад_доля_рычага,верх_Ц1_перед_x_относительно_оси_ступицы_м,верх_Ц1_зад_x_относительно_оси_ступицы_м,верх_Ц2_перед_x_относительно_оси_ступицы_м,верх_Ц2_зад_x_относительно_оси_ступицы_м,верх_Ц1_перед_z_относительно_рамы_м,верх_Ц1_зад_z_относительно_рамы_м,верх_Ц2_перед_z_относительно_рамы_м,верх_Ц2_зад_z_относительно_рамы_м,ход_штока_Ц1_перед_м,ход_штока_Ц1_зад_м,ход_штока_Ц2_перед_м,ход_штока_Ц2_зад_м,объём_ресивера_2,объём_ресивера_3,объём_аккумулятора,давление_Pmin_питание_Ресивер2,давление_Pmin_сброс,давление_Pmid_сброс,давление_Pзаряд_аккумулятора_из_Ресивер3,открытие_дросселя_Ц2_CAP_в_ROD,открытие_дросселя_Ц2_ROD_в_CAP,пружина_масштаб,candidate,score_ring,penalty_ring,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span_mean,p3_final_bar_abs,pacc_final_bar_abs,pneu_share
0.05,0.055,0.85,0.78,0.68,0.68,0.08,0.08,-0.03,-0.1,0.52,0.52,0.45,0.52,0.22,0.25,0.22,0.28,0.002,0.003,0.002,505300.0,551325.0,851325.0,911325.0,0.18,0.24,0.12,24,,4.200000000000004,1.9043111685391318,0.03971639915284305,5.801114598254887,2.5084338844355814,,0.10413427533263331,1.0,0.7316775692282347,8.469187368849022,3.292148209578611,0.22437329668339404
0.045,0.045,0.92,0.85,0.68,0.82,0.02,0.08,-0.1,-0.03,0.45,0.58,0.58,0.45,0.25,0.25,0.22,0.25,0.002,0.003,0.002,405300.0,651325.0,851325.0,911325.0,0.26,0.24,0.12,25,,4.200000000000004,2.0481552807671655,0.04467722081343063,5.606199393892076,2.09699579056362,,0.14201860078451034,1.0,0.7919784315656946,8.435814859226182,3.4100379075815535,0.1711345663286897
0.05,0.045,0.92,0.85,0.68,0.82,0.05,0.08,-0.06,-0.03,0.58,0.58,0.45,0.52,0.28,0.28,0.25,0.28,0.002,0.002,0.002,405300.0,601325.0,851325.0,911325.0,0.36,0.16,0.12,26,,5.029381583688335,2.1110355457822068,0.04547284981392577,5.547587875345181,2.3729431724609484,,0.06341236832623338,1.0,0.7892057286694314,8.49358524732079,3.7517974627265356,0.19641274960114433
0.04,0.05,0.78,0.78,0.55,0.68,0.08,0.08,-0.06,-0.1,0.45,0.52,0.45,0.58,0.25,0.22,0.22,0.28,0.003,0.003,0.003,405300.0,651325.0,781325.0,911325.0,0.36,0.16,0.14,27,,8.200000000000003,2.2224705540936367,0.0486271780459073,5.399562139878079,2.32169779492474,,0.0,1.0,0.7752003936709115,7.7701267875709865,3.432190205625032,0.15024070177498122
0.045,0.05,0.78,0.92,0.55,0.55,0.02,0.08,-0.06,-0.1,0.58,0.58,0.52,0.52,0.25,0.22,0.22,0.25,0.002,0.0015,0.003,505300.0,601325.0,851325.0,851325.0,0.18,0.16,0.16,28,,8.200000000000003,2.9626457260214543,0.04926036550766276,5.081826687402449,2.6375910659729183,,0.0,1.0,0.7900616641627035,8.486540962227442,5.386807745816643,0.17704357101820462
0.045,0.055,0.92,0.78,0.55,0.55,0.02,0.05,-0.03,-0.1,0.45,0.45,0.45,0.52,0.28,0.22,0.25,0.28,0.001,0.0015,0.003,505300.0,601325.0,851325.0,781325.0,0.36,0.1,0.16,29,,8.149000032055113,2.4451422400565987,0.04687683687882598,5.189212978102294,2.7980593432171057,,0.0010199993588978016,1.0,0.7083735700762197,7.79931260923711,5.866302047592169,0.18468900797361382
0.04,0.055,0.92,0.92,0.55,0.55,0.05,0.05,-0.06,-0.1,0.58,0.45,0.52,0.58,0.22,0.28,0.28,0.22,0.003,0.0015,0.003,405300.0,551325.0,851325.0,911325.0,0.36,0.1,0.14,30,,6.600617071543307,2.4510206770373912,0.048596241495828356,5.117141321083453,2.915087005179468,,0.03198765856913394,1.0,0.770771574014455,8.444569059915557,3.681199357498622,0.18493291987956748
0.045,0.045,0.92,0.92,0.55,0.82,0.05,0.02,-0.1,-0.06,0.58,0.45,0.45,0.52,0.28,0.25,0.22,0.22,0.001,0.0015,0.003,405300.0,551325.0,851325.0,911325.0,0.36,0.24,0.14,31,,8.200000000000003,2.482435690526901,0.04887986457601191,5.296970516335387,2.5248791108885573,,0.0,1.0,0.809497373629469,8.423030525052903,4.231795664835131,0.17601860678467057
0.045,0.05,0.85,0.78,0.55,0.82,0.02,0.08,-0.03,-0.03,0.52,0.45,0.52,0.52,0.28,0.22,0.28,0.22,0.002,0.003,0.003,455300.0,551325.0,781325.0,851325.0,0.18,0.16,0.12,32,,4.200000000000004,1.9667438677603708,0.04261662577793026,5.600039085431712,1.7917489475993307,,0.12619192185297054,1.0,0.7500094153334801,7.772378943873198,3.1296636983165524,0.16909763199643335
0.05,0.05,0.85,0.85,0.68,0.55,0.05,0.02,-0.06,-0.06,0.58,0.52,0.52,0.58,0.22,0.28,0.22,0.22,0.003,0.0015,0.003,405300.0,651325.0,781325.0,851325.0,0.18,0.1,0.12,33,,4.254441840738932,1.9723211163633971,0.04154547610103145,5.687015410802781,2.400671685316972,,0.07891116318522144,1.0,0.7644090237802462,7.863972853144943,5.567967343459192,0.20157436757686345
